LabelNames,Regroupement,labelNames.freq,labelNames.freq.F1,labelNames.freq.F2,labelNames.freq.F3,Commentaire
abu.sax.mel.nig.vid,mixt.reef.fish,1,1,NA,NA,
abu.sax.vid,mixt.reef.fish,2,NA,2,NA,
aca.sol.vid,shelfbreak.large.fish,1,NA,1,NA,
alu.scr.vid,mixt.reef.fish,1,NA,1,NA,
bar.sph.gear,individual.demersal.fish,1,NA,1,NA,
bottom.aggregation,bottom.small.fish.school,92,NA,NA,92,
bottom.fish.layer,bottom.weak.fish.detection,121,NA,15,106,
bottom.fish.thin.layer,bottom.weak.fish.detection,342,106,NA,236,
bottom.school,bottom.small.fish.school,35,NA,35,NA,
bottom.small.fish,bottom.weak.fish.detection,26,NA,26,NA,
bottom.small.fish.school,bottom.small.fish.school,228,43,129,56,
can.mac.vid,mixt.reef.fish,1,NA,NA,1,
can.suf,can.suf,29,NA,20,9,
can.suf.aca.sol.sph.bar.vid,mixt,1,NA,1,NA,
can.suf.alu.scr.car.lug.ser.dum.and.others.vid,mixt,1,NA,1,NA,
can.suf.alu.scr.vid,can.suf.vid,1,NA,1,NA,
can.suf.and.others.vid,mixt,1,NA,1,NA,
can.suf.caranx.spp.vid,small.pelagics.and.predators,3,NA,NA,3,
can.suf.ela.bip.mel.nig.vid,mixt,1,NA,NA,1,
can.suf.mel.nig.alu.scr.car.cry.vid,mixt,2,NA,2,NA,
can.suf.sph.bar.ela.bip.vid,mixt,1,NA,1,NA,
can.suf.vid,can.suf.vid,41,1,24,16,
car.cry.mel.nig.can.suf.vid,mixt,1,NA,NA,1,
car.cry.mel.nig.vid,mixt,1,NA,NA,1,
car.cry.vid,small.pelagics.school,2,NA,1,1,
car.lug.and.or.alu.scri.vid,mixt,1,NA,1,NA,
car.lug.vid,individual.demersal.fish,2,NA,1,1,
car.rub.vid,mixt.reef.fish,2,1,1,NA,
chr.mul.vid,mixt.reef.fish,1,NA,1,NA,
damsel.grp,mixt.reef.fish,5,NA,5,NA,
dec.mac.vid,small.pelagics.school,1,NA,1,NA,
dense.school,dense.school,23,1,3,19,
ela.bip.vid,individual.demersal.fish,1,NA,1,NA,
fish.gelatinous.layer,shelfbreak.large.fish,15,NA,NA,15,
individual.demersal.fish,individual.demersal.fish,652,106,324,222,
inside.gelatinous.layer,shelfbreak.large.fish,11,11,NA,NA,
kyp.sec.vid,mixt.reef.fish,1,NA,1,NA,
layer.school,bottom.small.fish.school,18,NA,18,NA,
loose.school,loose.school,31,NA,5,26,
lut.joc.vid,individual.demersal.fish,2,NA,2,NA,
mel.nig,mel.nig,1,1,NA,NA,
mel.nig.aca coe.vid,mel.nig.vid,157,32,60,65,
mel.nig.and.other.car.lat.sph.bar.car.cry.can.suf.vid,mixt,3,NA,NA,3,
mel.nig.can.suf.vid,mixt,1,NA,1,NA,
mel.nig.car.cry.can.suf.vid,mixt,2,NA,NA,2,
mel.nig.car.lat.sph.bar.aca.sol.vid,mel.nig.vid,1,NA,1,NA,
mel.nig.car.lug.lut.joc.vid,mel.nig.vid,1,NA,1,NA,
mel.nig.car.lug.vid,mel.nig.vid,1,NA,NA,1,
mel.nig.chr.mul.vid,mixt.reef.fish,5,1,NA,4,
mel.nig.ela.bip.lut.joc.vid,mel.nig.vid,1,1,NA,NA,
mel.nig.lut.joc.car.lug.vid,mel.nig.vid,1,NA,NA,1,
mel.nig.lut.joc.sph.bar.vid,mel.nig.vid,1,NA,1,NA,
mel.nig.lut.joc.vid,mel.nig.vid,7,NA,1,6,
mel.nig.mixt.reef.fish,mixt.reef.fish,2,NA,NA,2,
mel.nig.spa.amp.aca.coe.vid,mixt.reef.fish,1,NA,NA,1,
mel.nig.sph.bar.car.lug.vid,mel.nig.vid,1,NA,NA,1,
mel.nig.sph.bar.ela.bip.vid,mel.nig.vid,1,NA,NA,1,
mel.nig.sph.bar.vid,mel.nig.vid,13,6,1,6,
mel.nig.vid,mel.nig.vid,128,6,34,88,
mixt.reef.fish,mixt.reef.fish,358,61,189,108,
pelagic.predator,shelfbreak.large.fish,7,NA,7,NA,
pelagic.predator.ela.bip.car.fal.vid,shelfbreak.large.fish,1,NA,1,NA,
pelagic.predator.vid,shelfbreak.large.fish,3,NA,3,NA,
predators,individual.demersal.fish,14,NA,7,7,
sand.fish,sand.fish,45,33,3,9,
sand.fish.loose.school,loose.school,13,13,NA,NA,
ser.dum.gear,individual.demersal.fish,1,NA,1,NA,
serpentine,bottom.small.fish.school,35,NA,NA,35,
shelfbreak.large.fish,shelfbreak.large.fish,263,90,83,90,
shelfbreak.school,shelfbreak.school,253,111,88,54,
small.pelagic.and.predators.vid,small.pelagics.and.predators,2,NA,2,NA,
small.pelagic.vid,small.pelagics.school,1,NA,1,NA,
small.pelagics.and.predators,small.pelagics.and.predators,102,80,4,18,
small.pelagics.school,small.pelagics.school,59,24,23,12,
sph.bar.vid,individual.demersal.fish,9,3,4,2,
sph.lew.vid,shelfbreak.large.fish,1,NA,NA,1,
zooplankton,NA,1,1,NA,NA,
